epoch	time	lr	train loss	train acc	testloss	test acc
0	35.1	0.1	2.46	14.6	2.11	20.5
1	36.1	0.1	2.05	21.3	2.02	23.4
2	37.1	0.1	1.92	25.8	2.05	21.4
3	38.6	0.1	1.86	29.5	1.84	28.7
4	39.5	0.1	1.78	33.1	1.73	35.5
5	39.9	0.1	1.69	36.5	1.74	37.0
6	40.3	0.1	1.64	39.0	1.59	41.2
7	40.6	0.1	1.58	41.4	1.58	41.6
8	40.7	0.1	1.52	44.2	2.01	38.5
9	40.5	0.1	1.45	47.3	1.5	46.6
10	40.5	0.1	1.37	49.8	1.62	47.1
11	40.5	0.1	1.32	52.2	1.41	50.0
12	40.3	0.1	1.27	54.3	1.44	50.6
13	40.3	0.1	1.21	56.3	1.3	54.4
14	40.4	0.1	1.18	57.9	1.41	51.6
15	40.3	0.1	1.13	59.7	1.24	56.6
16	40.2	0.1	1.09	61.2	1.34	54.9
17	40.2	0.1	1.06	62.2	1.24	56.5
18	40.2	0.1	1.03	63.5	1.13	61.8
19	40.2	0.1	1.01	64.3	1.04	63.1
20	40.3	0.1	0.977	65.5	1.03	62.7
21	40.3	0.1	0.957	66.2	1.18	60.9
22	40.3	0.1	0.943	66.7	1.35	59.2
23	40.2	0.1	0.925	67.5	1.04	64.0
24	40.1	0.1	0.904	68.1	1.1	64.9
25	40.3	0.1	0.887	68.7	1.15	62.3
26	40.1	0.1	0.872	69.2	1.04	65.5
27	40.2	0.1	0.858	69.6	0.939	67.3
28	40.2	0.1	0.852	70.0	0.965	66.5
29	40.3	0.1	0.841	70.3	1.02	65.9
30	40.2	0.010000000000000002	0.754	73.4	0.808	72.2
31	40.1	0.010000000000000002	0.724	74.5	0.808	72.0
32	40.2	0.010000000000000002	0.713	74.9	0.793	72.2
33	40.2	0.010000000000000002	0.707	75.1	0.786	72.8
34	40.1	0.010000000000000002	0.703	75.1	0.79	73.0
35	40.1	0.010000000000000002	0.695	75.5	0.776	73.0
36	40.1	0.010000000000000002	0.687	75.7	0.775	73.1
37	40.1	0.010000000000000002	0.688	75.7	0.771	73.2
38	40.2	0.010000000000000002	0.681	76.1	0.776	73.1
39	40.1	0.010000000000000002	0.679	76.1	0.777	73.4
40	40.2	0.010000000000000002	0.674	76.1	0.777	72.7
41	40.2	0.010000000000000002	0.672	76.3	0.779	73.4
42	40.3	0.010000000000000002	0.665	76.4	0.761	73.6
43	40.4	0.010000000000000002	0.662	76.7	0.774	73.3
44	40.3	0.010000000000000002	0.659	76.8	0.77	73.3
45	40.2	0.010000000000000002	0.659	76.8	0.778	73.1
46	40.2	0.010000000000000002	0.649	77.2	0.777	73.6
47	40.2	0.010000000000000002	0.646	77.2	0.782	73.5
48	40.3	0.010000000000000002	0.647	77.3	0.793	73.1
49	40.2	0.010000000000000002	0.642	77.4	0.795	73.3
50	40.2	0.010000000000000002	0.64	77.4	0.771	73.8
51	40.3	0.010000000000000002	0.64	77.4	0.772	73.5
52	40.2	0.010000000000000002	0.634	77.6	0.764	74.0
53	40.3	0.010000000000000002	0.634	77.6	0.758	74.1
54	40.1	0.010000000000000002	0.629	77.8	0.766	73.6
55	40.1	0.010000000000000002	0.627	78.0	0.751	74.6
56	40.3	0.010000000000000002	0.62	78.0	0.778	73.8
57	40.2	0.010000000000000002	0.621	78.1	0.767	74.1
58	40.2	0.010000000000000002	0.619	78.0	0.751	74.2
59	40.1	0.010000000000000002	0.615	78.2	0.793	73.1
60	40.2	0.0010000000000000002	0.597	79.0	0.751	74.7
61	40.2	0.0010000000000000002	0.589	79.1	0.758	74.5
62	40.2	0.0010000000000000002	0.587	79.3	0.746	74.3
63	40.1	0.0010000000000000002	0.584	79.3	0.749	74.6
64	40.7	0.0010000000000000002	0.582	79.5	0.738	75.0
65	40.3	0.0010000000000000002	0.586	79.2	0.74	75.0
66	40.2	0.0010000000000000002	0.584	79.5	0.755	74.9
67	40.3	0.0010000000000000002	0.587	79.3	0.761	74.4
68	40.2	0.0010000000000000002	0.58	79.7	0.736	75.2
69	40.2	0.0010000000000000002	0.584	79.3	0.754	74.8
70	40.2	0.0010000000000000002	0.581	79.6	0.752	75.1
71	40.1	0.0010000000000000002	0.58	79.6	0.742	75.0
72	40.2	0.0010000000000000002	0.577	79.8	0.746	75.3
73	40.3	0.0010000000000000002	0.577	79.6	0.742	74.8
74	40.2	0.0010000000000000002	0.574	79.7	0.747	74.9
75	40.2	0.0010000000000000002	0.575	79.8	0.745	74.9
76	40.3	0.0010000000000000002	0.576	79.6	0.739	75.2
77	40.1	0.0010000000000000002	0.572	80.0	0.745	74.8
78	40.2	0.0010000000000000002	0.579	79.7	0.742	75.0
79	40.3	0.0010000000000000002	0.576	79.6	0.728	75.3
80	40.3	0.0010000000000000002	0.572	79.8	0.748	74.6
81	39.9	0.0010000000000000002	0.577	79.6	0.742	75.1
82	39.7	0.0010000000000000002	0.576	79.5	0.742	74.4
83	39.7	0.0010000000000000002	0.571	79.8	0.747	74.9
84	39.6	0.0010000000000000002	0.574	79.9	0.748	75.0
85	39.6	0.0010000000000000002	0.572	79.9	0.753	75.2
86	38.9	0.0010000000000000002	0.572	79.8	0.747	74.7
87	38.4	0.0010000000000000002	0.571	79.7	0.752	74.8
88	38.0	0.0010000000000000002	0.568	79.9	0.741	74.8
89	37.8	0.0010000000000000002	0.57	79.8	0.743	75.4
