epoch	time	lr	train loss	train acc	testloss	test acc
0	34.9	0.1	2.25	18.5	2.02	23.8
1	35.8	0.1	1.85	29.4	1.76	33.6
2	36.3	0.1	1.67	37.2	1.62	40.4
3	36.9	0.1	1.51	43.7	1.45	47.0
4	37.7	0.1	1.32	52.1	1.44	49.1
5	37.8	0.1	1.13	59.3	1.04	62.6
6	38.3	0.1	0.97	65.6	1.22	60.5
7	38.2	0.1	0.84	70.5	0.92	69.0
8	38.3	0.1	0.735	74.3	0.78	73.2
9	38.3	0.1	0.674	76.4	0.753	74.3
10	38.4	0.1	0.599	79.2	0.71	76.0
11	38.4	0.1	0.557	80.6	0.647	78.6
12	38.4	0.1	0.527	81.9	0.759	75.6
13	38.4	0.1	0.492	82.9	0.899	72.6
14	38.4	0.1	0.47	83.6	0.675	78.3
15	38.5	0.1	0.442	84.7	0.599	80.5
16	38.5	0.1	0.413	85.8	0.533	82.6
17	38.4	0.1	0.396	86.3	0.573	81.6
18	38.5	0.1	0.381	86.8	0.554	82.0
19	38.4	0.1	0.361	87.6	0.532	83.1
20	38.5	0.1	0.343	88.3	0.6	81.5
21	38.7	0.1	0.333	88.4	0.503	83.7
22	38.4	0.1	0.324	88.8	0.528	83.4
23	38.3	0.1	0.304	89.6	0.562	83.4
24	38.4	0.1	0.296	89.6	0.453	85.5
25	38.3	0.1	0.282	90.2	0.477	85.0
26	38.4	0.1	0.273	90.4	0.533	83.4
27	38.4	0.1	0.27	90.4	0.613	82.3
28	38.4	0.1	0.258	91.0	0.498	84.9
29	38.4	0.1	0.243	91.5	0.595	83.1
30	38.4	0.010000000000000002	0.169	94.3	0.348	89.2
31	38.3	0.010000000000000002	0.139	95.4	0.347	89.4
32	38.3	0.010000000000000002	0.13	95.6	0.348	89.4
33	38.4	0.010000000000000002	0.12	96.0	0.344	89.5
34	38.2	0.010000000000000002	0.115	96.1	0.352	89.2
35	38.3	0.010000000000000002	0.11	96.2	0.353	89.5
36	38.4	0.010000000000000002	0.102	96.5	0.36	89.6
37	38.4	0.010000000000000002	0.0996	96.6	0.362	89.8
38	38.3	0.010000000000000002	0.0978	96.7	0.364	89.8
39	38.4	0.010000000000000002	0.0935	96.9	0.365	89.7
40	38.4	0.010000000000000002	0.0881	96.9	0.373	89.6
41	38.4	0.010000000000000002	0.0861	97.1	0.377	89.7
42	38.4	0.010000000000000002	0.0871	97.0	0.379	89.5
43	38.5	0.010000000000000002	0.0805	97.3	0.383	89.5
44	38.7	0.010000000000000002	0.0788	97.4	0.388	89.3
45	38.5	0.010000000000000002	0.0737	97.6	0.387	89.9
46	38.5	0.010000000000000002	0.0712	97.6	0.396	89.4
47	38.4	0.010000000000000002	0.0699	97.6	0.397	89.7
48	38.4	0.010000000000000002	0.0667	97.7	0.397	89.8
49	38.4	0.010000000000000002	0.0645	97.9	0.405	89.8
50	38.4	0.010000000000000002	0.0624	97.9	0.412	89.5
51	38.5	0.010000000000000002	0.0597	98.0	0.407	89.6
52	38.4	0.010000000000000002	0.0599	98.0	0.409	89.8
53	38.4	0.010000000000000002	0.0562	98.1	0.417	89.5
54	38.4	0.010000000000000002	0.0545	98.2	0.428	89.5
55	38.5	0.010000000000000002	0.0541	98.1	0.428	89.4
56	38.5	0.010000000000000002	0.0485	98.4	0.433	89.5
57	38.5	0.010000000000000002	0.0504	98.3	0.434	89.8
58	38.3	0.010000000000000002	0.0472	98.4	0.432	89.7
59	38.5	0.010000000000000002	0.0455	98.5	0.426	89.8
60	38.4	0.0010000000000000002	0.0409	98.7	0.423	89.8
61	38.4	0.0010000000000000002	0.0381	98.8	0.423	89.9
62	38.6	0.0010000000000000002	0.0376	98.9	0.425	89.9
63	38.4	0.0010000000000000002	0.036	98.8	0.426	89.9
64	38.4	0.0010000000000000002	0.0356	98.9	0.426	89.9
65	38.4	0.0010000000000000002	0.0353	98.9	0.426	90.0
66	38.3	0.0010000000000000002	0.0353	98.9	0.43	89.9
67	38.5	0.0010000000000000002	0.0343	98.9	0.429	90.0
68	38.5	0.0010000000000000002	0.0339	99.0	0.431	90.0
69	38.5	0.0010000000000000002	0.0327	99.0	0.43	90.0
70	38.4	0.0010000000000000002	0.0329	99.0	0.431	90.0
71	38.4	0.0010000000000000002	0.033	99.0	0.431	89.9
72	38.5	0.0010000000000000002	0.0335	99.0	0.431	89.8
73	38.4	0.0010000000000000002	0.0314	99.0	0.434	90.1
74	38.4	0.0010000000000000002	0.032	99.0	0.437	90.0
75	38.4	0.0010000000000000002	0.0304	99.1	0.433	89.9
76	38.4	0.0010000000000000002	0.0317	99.1	0.434	90.0
77	38.4	0.0010000000000000002	0.0317	99.1	0.434	90.0
78	38.5	0.0010000000000000002	0.0309	99.1	0.438	90.0
79	38.4	0.0010000000000000002	0.0321	99.1	0.44	89.9
80	38.4	0.0010000000000000002	0.0311	99.1	0.437	90.0
81	38.5	0.0010000000000000002	0.0301	99.1	0.436	89.9
82	38.4	0.0010000000000000002	0.0292	99.2	0.437	89.9
83	38.6	0.0010000000000000002	0.0298	99.1	0.438	90.0
84	38.3	0.0010000000000000002	0.0294	99.2	0.44	90.0
85	38.0	0.0010000000000000002	0.0287	99.1	0.441	89.8
86	38.1	0.0010000000000000002	0.0294	99.1	0.44	89.9
87	37.9	0.0010000000000000002	0.0301	99.1	0.44	89.9
88	38.0	0.0010000000000000002	0.0289	99.1	0.443	90.0
89	37.9	0.0010000000000000002	0.0282	99.1	0.443	89.9
