epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.1	2.54	10.3	2.29	11.2
1	0:0	0.1	2.29	11.3	2.27	13.9
2	0:0	0.1	2.24	15.4	2.72	13.8
3	0:0	0.1	2.01	24.5	1.91	29.1
4	0:0	0.1	1.85	30.4	1.75	34.1
5	0:0	0.1	1.75	34.2	1.77	34.3
6	0:0	0.1	1.63	38.9	1.67	38.4
7	0:0	0.1	1.55	42.8	1.52	43.8
8	0:0	0.1	1.46	46.3	1.57	43.6
9	0:0	0.1	1.38	49.7	1.34	50.8
10	0:0	0.1	1.3	52.4	1.3	52.6
11	0:0	0.1	1.22	56.1	1.32	53.4
12	0:0	0.1	1.15	59.0	1.17	58.9
13	0:0	0.1	1.07	61.9	1.08	62.1
14	0:0	0.1	1.01	64.1	1.09	61.1
15	0:0	0.1	0.954	66.2	1.01	64.4
16	0:0	0.1	0.903	68.3	1.03	63.6
17	0:0	0.1	0.866	69.5	1.01	65.0
18	0:0	0.1	0.823	71.1	0.929	67.9
19	0:0	0.1	0.789	72.2	0.963	67.1
20	0:0	0.1	0.764	73.3	0.871	71.2
21	0:0	0.1	0.743	74.0	1.01	67.1
22	0:0	0.1	0.723	74.5	0.846	71.7
23	0:0	0.1	0.698	75.5	0.933	70.0
24	0:0	0.1	0.674	76.3	0.806	72.1
25	0:0	0.1	0.655	76.9	0.716	75.6
26	0:0	0.1	0.64	77.7	0.81	72.7
27	0:0	0.1	0.624	78.4	0.73	75.3
28	0:0	0.1	0.618	78.4	0.715	75.5
29	0:0	0.1	0.602	78.9	0.743	74.8
30	0:0	0.01	0.507	82.4	0.576	80.2
31	0:0	0.01	0.474	83.6	0.581	80.0
32	0:0	0.01	0.464	83.7	0.569	80.5
33	0:0	0.01	0.455	84.1	0.576	80.4
34	0:0	0.01	0.454	84.2	0.593	80.0
35	0:0	0.01	0.447	84.4	0.575	80.3
36	0:0	0.01	0.436	84.7	0.569	80.9
37	0:0	0.01	0.432	84.8	0.576	80.9
38	0:0	0.01	0.433	84.8	0.553	81.2
39	0:0	0.01	0.425	85.2	0.572	80.7
40	0:0	0.01	0.42	85.3	0.567	81.3
41	0:0	0.01	0.419	85.4	0.566	80.5
42	0:0	0.01	0.412	85.5	0.575	81.0
43	0:0	0.01	0.408	85.7	0.582	80.4
44	0:0	0.01	0.4	85.9	0.58	80.5
45	0:0	0.01	0.398	86.1	0.577	80.9
46	0:0	0.01	0.394	86.2	0.563	81.2
47	0:0	0.01	0.387	86.3	0.567	81.0
48	0:0	0.01	0.387	86.5	0.574	81.1
49	0:0	0.01	0.384	86.5	0.581	81.0
50	0:0	0.01	0.38	86.7	0.578	81.2
51	0:0	0.01	0.379	86.6	0.568	81.2
52	0:0	0.01	0.375	86.9	0.57	81.1
53	0:0	0.01	0.373	86.9	0.58	81.3
54	0:0	0.01	0.365	87.2	0.579	81.2
55	0:0	0.01	0.367	87.2	0.569	81.4
56	0:0	0.01	0.363	87.2	0.584	80.9
57	0:0	0.01	0.359	87.4	0.577	81.7
58	0:0	0.01	0.354	87.6	0.582	81.2
59	0:0	0.01	0.352	87.7	0.585	81.5
60	0:0	0.001	0.337	88.0	0.562	82.1
61	0:0	0.001	0.33	88.4	0.571	81.7
62	0:0	0.001	0.324	88.6	0.557	82.2
63	0:0	0.001	0.325	88.8	0.563	81.8
64	0:0	0.001	0.324	88.7	0.558	82.1
65	0:0	0.001	0.319	88.8	0.568	81.8
66	0:0	0.001	0.32	88.7	0.564	81.9
67	0:0	0.001	0.316	88.8	0.567	82.2
68	0:0	0.001	0.315	88.8	0.564	82.0
69	0:0	0.001	0.318	88.8	0.569	81.8
70	0:0	0.001	0.318	88.8	0.563	81.8
71	0:0	0.001	0.319	88.7	0.568	82.0
72	0:0	0.001	0.313	89.1	0.574	81.7
73	0:0	0.001	0.315	88.8	0.572	81.7
74	0:0	0.001	0.315	89.0	0.575	81.6
75	0:0	0.001	0.315	88.9	0.572	81.8
76	0:0	0.001	0.316	88.8	0.578	81.7
77	0:0	0.001	0.311	89.1	0.574	81.9
78	0:0	0.001	0.31	89.1	0.574	81.9
79	0:0	0.001	0.31	89.0	0.571	82.0
80	0:0	0.001	0.307	89.3	0.574	81.9
81	0:0	0.001	0.311	88.9	0.573	82.0
82	0:0	0.001	0.306	89.2	0.575	81.6
83	0:0	0.001	0.307	89.3	0.566	82.0
84	0:0	0.001	0.311	88.9	0.584	81.8
85	0:0	0.001	0.305	89.3	0.576	82.0
86	0:0	0.001	0.305	89.3	0.577	81.5
87	0:0	0.001	0.306	89.2	0.578	82.1
88	0:0	0.001	0.306	89.2	0.576	81.8
89	0:0	0.001	0.303	89.3	0.569	81.8
